4.01,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
-1,4.01,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0
0,-1,4.01,-1,0,0,-1,0,0,0,0,0,0,0,0,0
0,0,-1,4.01,0,0,0,-1,0,0,0,0,0,0,0,0
-1,0,0,0,4.01,-1,0,0,-1,0,0,0,0,0,0,0
0,-1,0,0,-1,4.01,-1,0,0,-1,0,0,0,0,0,0
0,0,-1,0,0,-1,4.01,-1,0,0,-1,0,0,0,0,0
0,0,0,-1,0,0,-1,4.01,0,0,0,-1,0,0,0,0
0,0,0,0,-1,0,0,0,4.01,-1,0,0,-1,0,0,0
0,0,0,0,0,-1,0,0,-1,4.01,-1,0,0,-1,0,0
0,0,0,0,0,0,-1,0,0,-1,4.01,-1,0,0,-1,0
0,0,0,0,0,0,0,-1,0,0,-1,4.01,0,0,0,-1
0,0,0,0,0,0,0,0,-1,0,0,0,4.01,-1,0,0
0,0,0,0,0,0,0,0,0,-1,0,0,-1,4.01,-1,0
0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,4.01,-1
0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,4.01
